iter	RMSE
0	9.327410179
1	9.273069033
2	9.21722405
3	9.164933623
4	9.108043158
5	9.053268422
6	8.998327418
7	8.94818404
8	8.895816487
9	8.842081685
10	8.793539921
11	8.745883118
12	8.698774322
13	8.654074702
14	8.6088031
15	8.56417552
16	8.509977257
17	8.465678607
18	8.422909414
19	8.375014675
20	8.333238326
21	8.291646775
22	8.245685396
23	8.200748824
24	8.156286627
25	8.116731856
26	8.078522309
27	8.040106693
28	8.001830049
29	7.964230419
30	7.927334257
31	7.886716512
32	7.84525977
33	7.80473762
34	7.768676526
35	7.729676898
36	7.695173891
37	7.661344165
38	7.62786268
39	7.593173679
40	7.563133951
41	7.530273187
42	7.500624305
43	7.469257095
44	7.43800224
45	7.409825757
46	7.370680779
47	7.34090768
48	7.306655737
49	7.27368433
50	7.247060952
51	7.21860823
52	7.186569761
53	7.154903532
54	7.127579001
55	7.09698382
56	7.074344581
57	7.044196034
58	7.013883508
59	6.987704645
60	6.957897178
61	6.934752293
62	6.911983134
63	6.883480362
64	6.855424948
65	6.830338332
66	6.80304087
67	6.772113912
68	6.750307171
69	6.724933741
70	6.702067278
71	6.679576579
72	6.659530793
73	6.635311251
74	6.617141352
75	6.592204942
76	6.571079417
77	6.544069251
78	6.516738169
79	6.498497841
80	6.471609146
81	6.44987881
82	6.428133817
83	6.409995592
84	6.388215143
85	6.362701824
86	6.337868483
87	6.318707216
88	6.299672922
89	6.28406548
90	6.265172686
91	6.249997607
92	6.229311391
93	6.20920704
94	6.191767077
95	6.172403029
96	6.152849509
97	6.130263107
98	6.108043318
99	6.08411468
100	6.063002715
101	6.044637583
102	6.023574627
103	6.008536911
104	5.995229261
105	5.980535237
106	5.965217315
107	5.94314355
108	5.924290371
109	5.910574009
110	5.894253193
111	5.873204858
112	5.856070881
113	5.835788065
114	5.82019215
115	5.805481392
116	5.792118576
117	5.776271081
118	5.762924377
119	5.744598708
120	5.725730556
121	5.715092577
122	5.702429038
123	5.687986849
124	5.67678411
125	5.658625385
126	5.640769508
127	5.623354259
128	5.608293283
129	5.597090622
130	5.580123726
131	5.562630137
132	5.546326937
133	5.534828092
134	5.518629223
135	5.505913294
136	5.491482594
137	5.475957266
138	5.46619196
139	5.45761264
140	5.446184818
141	5.435887659
142	5.427553072
143	5.41156119
144	5.396933828
145	5.386885626
146	5.374138599
147	5.362026363
148	5.350008162
149	5.34117556
150	5.327548335
151	5.315961105
152	5.307072718
153	5.296068979
154	5.286417575
155	5.276566549
156	5.264487114
157	5.255661534
158	5.247557986
159	5.234972226
160	5.222606234
161	5.214003604
162	5.206116388
163	5.197486065
164	5.185491116
165	5.177543581
166	5.171050424
167	5.163209451
168	5.156314615
169	5.148683123
170	5.142964
171	5.1316637
172	5.123670532
173	5.113601997
174	5.102677775
175	5.092740096
176	5.085577346
177	5.075143088
178	5.065866578
179	5.059347698
180	5.049066315
181	5.041369805
182	5.031321394
183	5.026101035
184	5.018987214
185	5.010288632
186	5.001381569
187	4.99451547
188	4.988924078
189	4.982673724
190	4.973288706
191	4.964072283
192	4.959177813
193	4.953669128
194	4.945429598
195	4.938528836
196	4.932646736
197	4.926539444
198	4.918105434
199	4.911643946
200	4.905104671
201	4.899461399
202	4.891073585
203	4.884384727
204	4.876594562
205	4.871928049
206	4.865299056
207	4.858573484
208	4.853568105
209	4.845806427
210	4.840681505
211	4.836842183
212	4.829292328
213	4.823105585
214	4.817767983
215	4.813895173
216	4.809565753
217	4.803032468
218	4.798632138
219	4.789041662
220	4.783420722
221	4.776919583
222	4.770950109
223	4.766990858
224	4.763727289
225	4.76027012
226	4.753527978
227	4.750259844
228	4.745778076
229	4.737019189
230	4.733881256
231	4.72727903
232	4.720974487
233	4.714843324
234	4.708612442
235	4.704694825
236	4.698427265
237	4.694974719
238	4.690934789
239	4.687541339
240	4.681145744
241	4.675171371
242	4.671418807
243	4.66826339
244	4.665589582
245	4.661171194
246	4.656980675
247	4.654107144
248	4.646160014
249	4.640672155
250	4.638373658
251	4.633952498
252	4.630029686
253	4.622381281
254	4.61487218
255	4.609735983
256	4.604648599
257	4.600647986
258	4.598226744
259	4.594813911
260	4.589805423
261	4.584742613
262	4.582236535
263	4.577294469
264	4.573434718
265	4.570198658
266	4.566979667
267	4.562244237
268	4.557438806
269	4.552295326
270	4.550116494
271	4.545591497
272	4.54266773
273	4.540472994
274	4.537748551
275	4.534493629
276	4.532379238
277	4.528065061
278	4.523509541
279	4.52063332
280	4.516568701
281	4.514706553
282	4.510447696
283	4.506269409
284	4.502528321
285	4.500596591
286	4.497618566
287	4.494366856
288	4.490421543
289	4.486551117
290	4.483565202
291	4.478703202
292	4.473086669
293	4.471338538
294	4.469594034
295	4.465875351
296	4.463939124
297	4.461185317
298	4.458941229
299	4.455978164
300	4.453500869
301	4.45170824
302	4.446133513
303	4.442619227
304	4.440681501
305	4.438494993
306	4.433246781
307	4.431691399
308	4.428279582
309	4.426732163
310	4.424274776
311	4.420176399
312	4.418105549
313	4.416705713
314	4.414432301
315	4.409507438
316	4.40467199
317	4.403388636
318	4.401448713
319	4.399263861
320	4.397443556
321	4.394739227
322	4.393114027
323	4.39120474
324	4.388189685
325	4.386918859
326	4.385361173
327	4.3838758
328	4.382651147
329	4.381148678
330	4.379723993
331	4.377174198
332	4.375626812
333	4.371048779
334	4.369840065
335	4.367040448
336	4.365767359
337	4.363582752
338	4.361244859
339	4.359734279
340	4.355274065
341	4.354335338
342	4.352590583
343	4.351004446
344	4.349940441
345	4.348754345
346	4.346566226
347	4.34450036
