iter	Passed	Remaining
0	162	161971
1	166	83242
2	171	56873
3	175	43773
4	180	35861
5	184	30545
6	189	26812
7	193	23932
8	196	21676
9	200	19872
10	205	18440
11	209	17209
12	213	16173
13	218	15369
14	224	14714
15	231	14218
16	237	13721
17	241	13165
18	245	12693
19	250	12277
20	254	11886
21	258	11506
22	262	11154
23	266	10828
24	270	10530
25	273	10250
26	277	9999
27	281	9757
28	284	9535
29	288	9321
30	291	9123
31	295	8935
32	299	8764
33	302	8600
34	307	8467
35	310	8327
36	314	8194
37	318	8067
38	322	7939
39	325	7817
40	329	7713
41	333	7600
42	336	7491
43	340	7390
44	343	7293
45	348	7217
46	351	7137
47	355	7055
48	359	6976
49	363	6911
50	367	6835
51	370	6762
52	374	6693
53	378	6634
54	382	6568
55	385	6505
56	389	6441
57	393	6390
58	397	6334
59	400	6278
60	404	6226
61	408	6182
62	412	6127
63	415	6077
64	419	6030
65	423	5988
66	427	5951
67	431	5913
68	435	5875
69	439	5842
70	443	5799
71	446	5761
72	450	5720
73	454	5683
74	457	5643
75	461	5606
76	464	5570
77	468	5542
78	472	5510
79	476	5476
80	480	5453
81	484	5424
82	488	5394
83	491	5361
84	495	5332
85	501	5329
86	508	5334
87	513	5322
88	519	5316
89	525	5311
90	531	5305
91	538	5310
92	543	5303
93	549	5295
94	555	5293
95	563	5302
96	569	5299
97	575	5293
98	580	5282
99	587	5287
100	593	5278
101	599	5276
102	604	5263
103	609	5252
104	615	5250
105	620	5236
106	625	5221
107	633	5228
108	637	5213
109	643	5202
110	649	5202
111	655	5196
112	661	5192
113	667	5189
114	673	5185
115	681	5194
116	687	5187
117	693	5185
118	699	5180
119	705	5172
120	711	5165
121	717	5166
122	722	5151
123	727	5139
124	732	5127
125	738	5121
126	744	5119
127	750	5112
128	755	5103
129	760	5091
130	765	5079
131	770	5069
132	777	5065
133	782	5056
134	788	5055
135	794	5047
136	799	5036
137	805	5029
138	810	5018
139	815	5009
140	824	5022
141	830	5017
142	836	5011
143	842	5009
144	848	5003
145	854	4998
146	860	4990
147	865	4983
148	873	4990
149	880	4987
150	890	5004
151	894	4993
152	901	4987
153	906	4980
154	912	4971
155	918	4968
156	924	4964
157	930	4959
158	935	4949
159	940	4940
